rank,score,dataset_name,file_extension,size_kb,department_names,request_id,request_url,document_download_url,is_open_data_duplicate,duplicate_of,reasons
265,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,47.4,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751554/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
266,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,48.2,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751558/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
267,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,43.4,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751589/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
268,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,45.8,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751627/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
269,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,47.7,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751631/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
270,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,40.7,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751650/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
271,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,52.8,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751752/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
272,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,47.8,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750736/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
273,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,44.9,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750834/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
274,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,45.7,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750857/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
275,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,45.9,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8751522/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
